[2026-05-14 13:42:00]
1. 基础30讲-例9-14
2. 基础30讲-习1-8
3. 基础30讲-例9-1
4. 基础30讲-例10-3
5. 基础30讲-习6-8
6. 基础30讲-习9-15
7. 基础30讲-例1-31
8. 基础30讲-例9-4
9. 基础30讲-例11-8
10. 基础30讲-例0-56

[2026-05-16 17:29:57]
1. 基础30讲-例3-1
2. 基础30讲-例3-3
3. 基础30讲-例16-39
4. 基础30讲-例13-20
5. 基础30讲-例8-6

[2026-05-17 12:37:14]
1. 基础30讲-例8-19
2. 基础30讲-例9-18
3. 基础30讲-例4-14
4. 基础30讲-习3-5
5. 基础30讲-习14-8

[2026-05-19 12:52:57]
1. 基础30讲-例11-1
2. 基础30讲-习15-5
3. 基础30讲-例17-8
4. 基础30讲-习6-3
5. 基础30讲-例0-58
6. 基础30讲-例5-14

[2026-05-20 08:40:59]
1. 基础30讲-习9-4
2. 基础30讲-习16-12
3. 基础30讲-例18-19
4. 基础30讲-习14-12
5. 基础30讲-例13-14
6. 基础30讲-例1-3

[2026-05-21 00:39:07]
1. 基础30讲-例5-9
2. 基础30讲-例13-10
3. 基础30讲-例1-10
4. 基础30讲-习1-13
5. 基础30讲-例10-2
6. 基础30讲-例9-8

[2026-05-22 00:35:11]
1. 基础30讲-例0-64
2. 基础30讲-例8-14
3. 基础30讲-例4-7
4. 基础30讲-例14-7
5. 基础30讲-例16-34
6. 基础30讲-例15-8

[2026-05-23 00:51:26]
1. 基础30讲-习17-8
2. 基础30讲-习14-7
3. 基础30讲-例2-11
4. 基础30讲-习16-13
5. 基础30讲-例15-21
6. 基础30讲-例16-10

[2026-05-24 11:14:03]
1. 基础30讲-例15-23
2. 基础30讲-例18-30
3. 基础30讲-例16-3
4. 基础30讲-例0-68
5. 基础30讲-例17-3
6. 基础30讲-例0-15

[2026-05-25 08:44:47]
1. 基础30讲-例13-5
2. 基础30讲-例9-15
3. 基础30讲-习18-4
4. 基础30讲-例0-61
5. 基础30讲-例0-57
6. 基础30讲-例2-15

[2026-05-26 08:43:24]
1. 基础30讲-例15-14
2. 基础30讲-例16-29
3. 基础30讲-例15-13
4. 基础30讲-习16-15
5. 基础30讲-习5-5
6. 基础30讲-例10-6

[2026-05-27 00:46:28]
1. 基础30讲-例16-39
2. 基础30讲-例8-3
3. 基础30讲-例8-2
4. 基础30讲-例0-21
5. 基础30讲-例3-5
6. 基础30讲-例16-7

[2026-05-28 00:15:57]
1. 基础30讲-例11-6
2. 基础30讲-习13-13
3. 基础30讲-例8-10
4. 基础30讲-例9-22
5. 基础30讲-例6-17
6. 基础30讲-例14-15

[2026-05-29 00:32:15]
1. 基础30讲-习8-7
2. 基础30讲-例16-1
3. 基础30讲-习15-6
4. 基础30讲-例14-4
5. 基础30讲-习9-17
6. 基础30讲-例13-1

[2026-05-30 00:25:26]
1. 基础30讲-例6-15
2. 基础30讲-例1-23
3. 基础30讲-例13-5
4. 基础30讲-习9-16
5. 基础30讲-例16-33
6. 基础30讲-例18-1

[2026-05-31 00:43:55]
1. 基础30讲-例4-11
2. 基础30讲-习16-17
3. 基础30讲-例14-11
4. 基础30讲-例0-43
5. 基础30讲-例6-6
6. 基础30讲-习14-2

[2026-06-01 00:33:04]
1. 基础30讲-例0-66
2. 基础30讲-习1-11
3. 基础30讲-习18-5
4. 基础30讲-例17-9
5. 基础30讲-例8-15
6. 基础30讲-习9-7

