学科,书本,标题,题干,是否有图片,图片路径,掌握程度,标签,答案,历次反馈,预留空间,首次做题时间
数学,基础30讲,基础30讲-例0-15,"设函数$f(x)=3ax^2+2bx+c$，$a+b+c=0$，$f(0)f(1)>0$。证明：(1)方程$f(x)=0$有实根；(2)$-2<\frac{b}{a}<-1$；(3)若$x_1,x_2$是方程$f(x)=0$的两个实根，则$|x_1-x_2|<\frac{2}{3}$。",n,基础30讲-例0-15,*,错题,"(1) 方程$f(x)=3ax^{2}+2bx+c = 0$的判别式
\begin{align*}
\Delta&=4(b^{2}-3ac)=4[(a + c)^{2}-3ac]=4(a^{2}+c^{2}-ac)=4\left[\left(a-\frac{1}{2}c\right)^{2}+\frac{3}{4}c^{2}\right]
\end{align*}
其中$a\neq0$。因为若$a = 0$，则有$b + c = 0$，$f(0)f(1)=c(3a + 2b + c)=-c^{2}\leq0$，矛盾，故$a\neq0$。于是$\Delta>0$，方程$f(x)=0$有实根。
(2) $f(0)f(1)=c(3a + 2b + c)=-(a + b)(2a + b)>0$，即$(a + b)(2a + b)<0$，两边同时乘以$\frac{1}{a^{2}}$，有$\left(1+\frac{b}{a}\right)\left(2+\frac{b}{a}\right)<0$，于是$-2<\frac{b}{a}<-1$。
(3) 由根与系数的关系，有$x_1 + x_2=-\frac{2b}{3a}$，$x_1\cdot x_2=\frac{c}{3a}$，故
\begin{align*}
|x_1 - x_2|&=\sqrt{(x_1 - x_2)^{2}}=\sqrt{(x_1 + x_2)^{2}-4x_1x_2}\\
&=\sqrt{\frac{4b^{2}}{9a^{2}}-\frac{4c}{3a}}=\sqrt{\frac{4b^{2}}{9a^{2}}+\frac{4}{3}\cdot\frac{a + b}{a}}=\sqrt{\frac{4}{9}\cdot\frac{b^{2}}{a^{2}}+\frac{4}{3}\left(1+\frac{b}{a}\right)}\\
&=\sqrt{\frac{4}{9}\left(\frac{b^{2}}{a^{2}}+3+\frac{3b}{a}\right)}=\sqrt{\frac{4}{9}\left(\frac{b}{a}+\frac{3}{2}\right)^{2}+\frac{1}{3}}
\end{align*}
由(2)可得$-2<\frac{b}{a}<-1$，令$\frac{b}{a}=t$，则$g(t)=\sqrt{\frac{4}{9}\left(\frac{b}{a}+\frac{3}{2}\right)^{2}+\frac{1}{3}}=\sqrt{\frac{4}{9}\left(t+\frac{3}{2}\right)^{2}+\frac{1}{3}}$，当$t = - 2$时，$g(-2)=\sqrt{\frac{1}{9}+\frac{1}{3}}=\frac{2}{3}$，当$t = - 1$时，$g(-1)=\sqrt{\frac{1}{9}+\frac{1}{3}}=\frac{2}{3}$，故$|x_1 - x_2|<\frac{2}{3}$。",2026-05-24:半对、二次函数的首项系数为0未考虑,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-16,"设$a,b,c$均为正数，且$a+b+c=1$，证明：(1)$ab+bc+ac\le\frac{1}{3}$；(2)$\frac{a^2}{b}+\frac{b^2}{c}+\frac{c^2}{a}\ge1$",n,基础30讲-例0-16,*,错题,"(1) 因为 $a^2 + b^2\geqslant2ab,b^2 + c^2\geqslant2bc,c^2 + a^2\geqslant2ac$，所以 $2(a^2 + b^2 + c^2)\geqslant2(ab + bc + ca)$，即 $a^2 + b^2 + c^2\geqslant ab + bc + ca$。
又 $(a + b + c)^2 = 1$，即
\[
1 = a^2 + b^2 + c^2 + 2ab + 2bc + 2ca\geqslant3(ab + bc + ca)
\]
即 $ab + bc + ca\leqslant\frac{1}{3}$。
(2) $\frac{a^2}{b}+b\geqslant2a$，$\frac{b^2}{c}+c\geqslant2b$，$\frac{c^2}{a}+a\geqslant2c$，故
\[
\frac{a^2}{b}+\frac{b^2}{c}+\frac{c^2}{a}+(a + b + c)\geqslant2(a + b + c)
\]
即 $\frac{a^2}{b}+\frac{b^2}{c}+\frac{c^2}{a}\geqslant a + b + c = 1$，得证。",2026-06-23:错,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-21,"已知$5x^2y^2+y^4=1(x,y\in\mathbb{R})$，则$x^2+y^2$的最小值是（  ）。(A)$\frac{2}{5}$ (B)$\frac{5}{2}$ (C)$\frac{4}{5}$ (D)$\frac{5}{4}$",n,基础30讲-例0-21,*,错题、思路不同,"应选 (C).
由$5x^{2}y^{2}+y^{4}=1$，则$x^{2}=\frac{1 - y^{4}}{5y^{2}}$，$y\neq 0$，因为若$y = 0$，则$0 = 1$，矛盾. 于是
\[
x^{2}+y^{2}=\frac{1 - y^{4}}{5y^{2}}+y^{2}=\frac{1}{5y^{2}}+\frac{4y^{2}}{5}\geqslant 2\sqrt{\frac{1}{5y^{2}}\cdot\frac{4y^{2}}{5}}=\frac{4}{5}
\]",2026-05-27:其他方法、不等式方法,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-26,证明：$x_1^2 + (x_2 - x_1)^2 + (x_3 - x_2)^2 + \dots + (a - x_{n-1})^2 \ge \frac{a^2}{n} \ (n \ge 2)$,n,基础30讲-例0-26,*,错题,"\begin{align*}
&x_1^2+(x_2 - x_1)^2+(x_3 - x_2)^2+\cdots+(a - x_{n - 1})^2\\
=&\frac{1}{n}\left[x_1^2+(x_2 - x_1)^2+(x_3 - x_2)^2+\cdots+(a - x_{n - 1})^2\right](1^2 + 1^2+\cdots+1^2)\\
\geq&\frac{1}{n}(x_1 + x_2 - x_1 + x_3 - x_2+\cdots+a - x_{n - 1})^2=\frac{a^2}{n}
\end{align*}",2026-06-05:对,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-29,"设二次函数$f(x)=ax^2+bx+c(a>0)$，方程$f(x)-x=0$的两个实根$x_1$，$x_2$满足$0<x_1<x_2<\frac{1}{a}$。(1) 当$x\in(0,x_1)$时，证明：$x<f(x)<x_1$；(2) 设函数$f(x)$的图像关于直线$x=x_0$对称，证明：$x_0<\frac{x_1}{2}$",n,基础30讲-例0-29,*,错题,"(1)设
\[
g(x)=f(x)-x=ax^2+(b - 1)x + c=a\left(x - \frac{1 - b}{2a}\right)^2 + c - \frac{(b - 1)^2}{4a}
\]
由题设$x_1$，$x_2$是方程$ax^2+(b - 1)x + c = 0$的两实根，故
\[
\begin{cases}
x_1 + x_2=\frac{1 - b}{a}\\
x_1\cdot x_2=\frac{c}{a}
\end{cases}
\]
又$\frac{1 - b}{2a}=\frac{x_1 + x_2}{2}>x_1$，$g(x)$在区间$(0, x_1)$上单调递减，故$g(x)>g(x_1)(0 < x < x_1)$，即
\[
f(x)-x>f(x_1)-x_1 = 0
\]
所以$f(x)>x$。
由题设$0 < x_1 < x_2 < \frac{1}{a}$及$(*)$得$x_1 + x_2>x_2 - \frac{b}{a}$，故$x_1>-\frac{b}{a}$，所以
\[
x_1-\left(-\frac{b}{2a}\right)>-\frac{b}{a}+\frac{b}{2a}=-\frac{b}{2a}-0
\]
因此当$0 < x < x_1$时，$f(x)<f(x_1)=x_1$。
综上，当$x \in (0, x_1)$时，$x < f(x) < x_1$。
(2)由题设知$x_0=-\frac{b}{2a}$，又因为$x_1>-\frac{b}{a}$，所以$x_0 < \frac{x_1}{2}$。",2026-06-14:错,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-34,"若关于$x$的不等式$x^2 - 2ax - 8a^2 < 0(a > 0)$的解集为$(x_1, x_2)$，且$x_2 - x_1 = 15$，则$a = (\ )$。选项为(A)$\frac{5}{2}$ (B)$\frac{7}{2}$ (C)$\frac{15}{4}$ (D)$\frac{15}{2}$",n,基础30讲-例0-34,*,错题、思路不同,"应选 (A).
\begin{align*}
x^{2}-2ax - 8a^{2}&=(x + 2a)(x - 4a)<0，且 a>0\\
故 -2a&<x<4a，即 x_1 = -2a，x_2 = 4a\\
又 x_2 - x_1&=15，即 4a - (-2a)=15\\
a&=\frac{5}{2}
\end{align*}",2026-06-13:对、其他方法,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-40,若函数$y = f(x-1)$的图像与函数$y = \ln\sqrt{x} + 1$的图像关于直线$y = x$对称，则$f(x)=$（ ）。(A)$e^{2x-1}$ (B)$e^{2x}$ (C)$e^{2x+1}$ (D)$e^{2x+2}$,n,基础30讲-例0-40,*,错题,由$y = \ln\sqrt{x} + 1$，解得$x = \mathrm{e}^{2(y - 1)}$，于是$y = \mathrm{e}^{2(x - 1)} = f(x - 1)$，得$f(x) = \mathrm{e}^{2x}$.,2026-06-08:对,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-41,函数$y = f(x)$的图像与函数$y = g(x)$的图像关于直线$x + y = 0$对称，则$y = f(x)$的反函数是（ ）。(A)$y = g(x)$ (B)$y = g(-x)$ (C)$y = -g(x)$ (D)$y = -g(-x)$,n,基础30讲-例0-41,*,错题,"应选 (D).
设点$P(x,y)$满足$y = f(x)$，关于直线$y = -x$的对称点为$P'(-y,-x)$，关于$y = x$的对称点为$(y, x)$，于是$y = f^{-1}(x)$的图像与$y = g(x)$的图像关于原点对称，即$y = f^{-1}(x) = -g(-x)$.",2026-06-11:半对、知识点和解法有点模糊,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-43,已知函数$f(x)=a\left(1-2\left|x-\frac{1}{2}\right|\right)$，$a$为常数且$a>0$。(1) 证明：函数$f(x)$的图像关于直线$x=\frac{1}{2}$对称；(2) 若$x_0$满足$f\left[f\left(x_0\right)\right]=x_0$，但$f\left(x_0\right)\neq x_0$，则称$x_0$为函数$f(x)$的二阶周期点，若$0<a<\frac{1}{2}$，求$f(x)$的二阶周期点的个数。,n,基础30讲-例0-43,*,错题,"(1) 由题设，有$f\left(\frac{1}{2} + x\right) = a(1 - 2|x|)$，$f\left(\frac{1}{2} - x\right) = a(1 - 2|x|)$，于是$f\left(\frac{1}{2} + x\right) = f\left(\frac{1}{2} - x\right)$，故$f(x)$的图像关于直线$x = \frac{1}{2}$对称。(2) 当$0 < a < \frac{1}{2}$时，$f[f(x)] = \begin{cases}4a^2x, & x\leqslant \frac{1}{2}\\4a^2(1 - x), & x > \frac{1}{2}\end{cases}$，$f[f(x)] = x$的解为$x = 0$，且$f(0) = 0$，故$f(x)$没有二阶周期点。","2026-05-31:错,2026-06-14:半对、粗心",11cm,2026-04-13
数学,基础30讲,基础30讲-例0-50,已知$-\frac{\pi}{2}<x<0$，$\sin x+\cos x=\frac{1}{5}$，则$\sin x-\cos x=(\ )$。(A)$\frac{7}{5}$ (B)$-\frac{7}{5}$ (C)$\frac{\sqrt{7}}{5}$ (D)$-\frac{\sqrt{7}}{5}$,n,基础30讲-例0-50,***,思路不同,"应选(B).
由$(\sin x + \cos x)^2 = \sin^2 x + 2\sin x\cos x + \cos^2 x = \frac{1}{25}$，于是$2\sin x\cos x = -\frac{24}{25}$，则$(\sin x - \cos x)^2 = 1 - 2\sin x\cos x = \frac{49}{25}$.
当$-\frac{\pi}{2} < x < 0$时，$\sin x < 0$，$\cos x > 0$，$\sin x - \cos x < 0$，故$\sin x - \cos x = -\frac{7}{5}$.",,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-51,若$3\sin\alpha - \sin\beta = \sqrt{10}$，$\alpha + \beta = \frac{\pi}{2}$，则$\sin\alpha = \underline{\quad\quad}$,n,基础30讲-例0-51,***,方法不同,由$\beta = \frac{\pi}{2} - \alpha$，则$3\sin\alpha - \sin\beta = 3\sin\alpha - \cos\alpha = \sqrt{10}$，即$\cos\alpha = 3\sin\alpha - \sqrt{10}$，于是有$\sin^2\alpha + (3\sin\alpha - \sqrt{10})^2 = 1$，解得$\sin\alpha = \frac{3\sqrt{10}}{10}$.,,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-52,已知$\tan\alpha=-2$，$\tan(\alpha+\beta)=\frac{1}{7}$，则$\tan\beta=\underline{\quad\quad}$,n,基础30讲-例0-52,***,方法不同,"\[
\tan\beta = \tan((\alpha + \beta) - \alpha) = \frac{\tan(\alpha + \beta) - \tan\alpha}{1 + \tan(\alpha + \beta)\tan\alpha} = \frac{\frac{1}{7} + 2}{1 - \frac{2}{7}} = 3
\]",,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-56,"已知圆$O$的半径为$1$，$A$是圆上的定点，$P$是圆上一动点，角$x$的始边为射线$OA$，终边为射线$OP$。过点$P$作直线$OA$的垂线，垂足为点$M$，将点$M$到直线$OP$的距离表示为$x$的函数$f(x)$，则$y=f(x)$在$[0,\pi]$上的图像大致为（）",y,基础30讲-例0-56,***,方法不同,"当$x\in\left[0,\frac{\pi}{2}\right]$时，过点$M$作$MD\perp OP$于点$D$，则$|PM|=\sin x$，$|OM|=\cos x$，$|MD|=\frac{|OM||PM|}{|OP|}=\frac{\cos x\cdot\sin x}{1}=\cos x\sin x=\frac{1}{2}\sin 2x$.
当$x\in\left[\frac{\pi}{2},\pi\right]$时，同样的作图方法，但此时$|PM|=\sin(\pi - x)=\sin x$，$|OM|=\cos(\pi - x)=-\cos x$，于是$|MD|=\frac{|OM||PM|}{|OP|}=\frac{-\cos x\cdot\sin x}{1}=-\frac{1}{2}\sin 2x$.
综上，$f(x)=\frac{1}{2}|\sin 2x|$，$x\in[0,\pi]$. 选 (B).",2026-05-14:对,11cm,2026-04-06
数学,基础30讲,基础30讲-例0-57,设$0 < x < \frac{\pi}{2}$，证明$\cos x < \frac{\sin x}{x} < 1$,y,基础30讲-例0-57,*,错题,"如图 17 所示，作一单位圆，并在该单位圆中作$\angle COB = x(0 < x < \frac{\pi}{2})$，过点$C$作切线$CA$，交$OB$延长线于点$A$，过点$B$作$OC$的垂线$BD$，交$OC$于点$D$. 设圆心角$x$所对的$\overset{\frown}{BC}$的长为$l$.
由$S_{\triangle OBC} < S_{扇形 OBC} < S_{\triangle OAC}$，即
\[
\frac{1}{2}|OC|\cdot|BD| < \frac{1}{2}|OC|\cdot l < \frac{1}{2}|OC|\cdot|AC|
\]
消去$\frac{1}{2}|OC|$，得
\[
|BD| < x\cdot|OB| < |AC|
\]
又$\sin x = \frac{|BD|}{|OB|}$，$\tan x = \frac{|AC|}{|OC|}$，
故
\[
|OB|\sin x < x\cdot|OB| < |OC|\tan x
\]
又$|OB| = |OC|$，消去$|OB|$，$|OC|$，得$\sin x < x < \tan x$.
故$\frac{\sin x}{x} < 1$，又$\tan x = \frac{\sin x}{\cos x} > x > 0$，故$\cos x < \frac{\sin x}{x} < 1$.","2026-05-25:对,2026-06-20:对",11cm,2026-04-13
数学,基础30讲,基础30讲-例0-58,若$\arcsin x > \arccos x$，则$x$的取值范围是\underline{\quad\quad\quad},n,基础30讲-例0-58,*,错题,"应填$\left(\frac{\sqrt{2}}{2},1\right]$。
由题设，有
\[
\frac{\pi}{2} \geq \arcsin x > \arccos x \geq 0
\]
令$\arccos x = t$，则$x = \cos t$，$\sin t = \sqrt{1 - x^2}$。由$\sin x$在$\left[0,\frac{\pi}{2}\right]$上单调增加，有
\begin{align*}
1 &\geq \sin(\arcsin x) > \sin t \geq 0\\
1 &\geq x > \sqrt{1 - x^2} \geq 0
\end{align*}
于是
\[
\frac{\sqrt{2}}{2} < x \leq 1
\]",2026-05-19:对、其他方法,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-61,设$f(x)=\arctan x$，$g(x)=\tan x$，求$g[f(x)]$与$f[g(x)]$，并作它们的图像。,y,基础30讲-例0-61,*,错题,"当$f(x)\in\left(-\frac{\pi}{2},\frac{\pi}{2}\right)$时，$g = f^{-1}$，故
\[
g[f(x)] = f^{-1}[f(x)] = x(x\in\mathbf{R})
\]
所以$g[f(x)]$的图像如图 19 所示。
又$g(x+\pi)=g(x)$，故
\[
f[g(x+\pi)] = f[g(x)]
\]
即$f[g(x)]$也是周期为$\pi$的周期函数，只要作出函数在一个周期上的图像即可。当$x\in\left(-\frac{\pi}{2},\frac{\pi}{2}\right)$时，$f = g^{-1}$，于是
\[
f[g(x)] = g^{-1}[g(x)] = x\left(-\frac{\pi}{2} < x < \frac{\pi}{2}\right)
\]
所以函数$f[g(x)]$的图像（见图 20）为无穷多条平行的直线段。于是
\[
f[g(x)] =
\begin{cases}
x, & x\in\left(-\frac{\pi}{2},\frac{\pi}{2}\right) \\
x - \pi, & x\in\left(\frac{\pi}{2},\frac{3\pi}{2}\right) \\
\cdots
\end{cases}
\]
事实上，当$x\in\left(\frac{\pi}{2},\frac{3\pi}{2}\right)$时，$\frac{x + \frac{\pi}{2}}{\pi}\in(1,2)$，$\left[\frac{x + \frac{\pi}{2}}{\pi}\right] = 1$；当$x\in\left(k\pi + \frac{\pi}{2},k\pi + \frac{3\pi}{2}\right)$，$k\in\mathbf{Z}$时，有$\frac{x + \frac{\pi}{2}}{\pi}\in(k + 1,k + 2)$，故$\left[\frac{x + \frac{\pi}{2}}{\pi}\right] = k + 1$，于是利用取整数部分的记号，有
\[
f[g(x)] = x - \left[\frac{x + \frac{\pi}{2}}{\pi}\right]\pi,x\neq\left(k + \frac{1}{2}\right)\pi(k = 0,\pm1,\pm2,\cdots)
\]",2026-05-25:对,11cm,2026-04-13
数学,基础30讲,基础30讲-例0-62,已知数列$\{a_n\}$的前$n$项和为$S_n$，$a_1=1$，$S_n=2a_{n+1}$，则$S_n=(\ )$。(A)$2^{n-1}$　(B)$\left(\dfrac{3}{2}\right)^{n-1}$　(C)$\left(\dfrac{2}{3}\right)^{n-1}$　(D)$\dfrac{1}{2^{n-1}}$,n,基础30讲-例0-62,*,错题,由$a_{n + 1}=S_{n + 1}-S_{n}$，故$S_{n}=2a_{n + 1}=2(S_{n + 1}-S_{n})$，即$3S_{n}=2S_{n + 1}$，$\frac{S_{n + 1}}{S_{n}}=\frac{3}{2}$，所以$\{ S_{n}\}$是以$S_{1}=a_{1}=1$为首项，$q = \frac{3}{2}$为公比的等比数列，即$S_{n}=\left(\frac{3}{2}\right)^{n - 1}$ ，选 (B).,2026-06-15:对,11cm,2026-04-13
